"","loc_tag","long","lat","inout","time_group","PM1.0_CF1_ug/m3","PM2.5_CF1_ug/m3","PM10.0_CF1_ug/m3","RSSI_dbm","Temperature_F","Humidity_%","PM2.5_ATM_ug/m3","ADC","Pressure_hpa","IAQ"
"166","NE Glisan",-122.6248,45.52642,"outside","night",9.90033703703704,15.3664,16.6088296296296,-66.6192592592593,66.4155555555556,62.5555555555556,14.9091333333333,0.0374074074074074,1011.55507407407,NA
"167","NE Regents Drive",-122.6339,45.55093,"outside","afternoon",40.3753211009174,64.0266055045872,69.2484862385321,-69.1834862385321,71.4954128440367,32.4587155963303,43.7248165137615,0,977.742752293578,NA
"168","NE Regents Drive",-122.6339,45.55093,"outside","morning",117.145625,225.1959375,250.118125,-58.6875,73,18.5625,150.3196875,0,868.66625,NA
"169","NE Regents Drive",-122.6339,45.55093,"outside","night",9.07066666666667,12.8187777777778,13.7617222222222,-78.7444444444444,55.0111111111111,61.5444444444444,12.8187777777778,0,1022.56655555556,NA
"170","Non weld Shop",-122.7078,45.55861,"inside","afternoon",121.9825,206.38725,223.86225,-56.775,82.675,16.725,137.19475,0.01,867.65575,NA
"171","North Portland",-122.7321,45.59786,"outside","afternoon",25.4772551928783,42.0201928783383,46.3585756676558,-47,71.3887240356083,40.459940652819,29.9853412462908,0.01,994.705430267062,NA
"172","North Portland",-122.7321,45.59786,"outside","morning",7.19967479674797,12.0019918699187,13.8277642276423,-44.6991869918699,57.8536585365854,68.520325203252,11.9684552845528,0.0113114754098361,1026.42158536585,NA
"173","North Portland",-122.7321,45.59786,"outside","night",8.50844444444444,13.718037037037,15.7378333333333,-45.0592592592593,56.5962962962963,60.0481481481482,13.7081481481481,0.0101851851851852,1029.43125925926,NA
"174","NSA OPS",-122.7124,45.52463,"outside","afternoon",164.3821875,250.8971875,260.01609375,-54.125,82.84375,19.8125,167.89515625,0.05,869.8703125,NA
"175","NSA OPS",-122.7124,45.52463,"outside","morning",128.256595744681,220.387340425532,235.968191489362,-55.8510638297872,71.8297872340426,21.8510638297872,146.699361702128,0.05,869.372765957447,NA
"176","NW PDX",-122.7025,45.53439,"outside","afternoon",91.0877049180328,140.174426229508,146.302459016393,-57.0322580645161,80.0322580645161,18.9677419354839,94.8127868852459,0.02,862.998666666667,NA
"177","NW Tigard",-122.807,45.4429,"outside","afternoon",79.1870909090909,128.814909090909,136.540727272727,-54.6363636363636,74.0727272727273,20.6363636363636,86.6262727272727,0.0396363636363636,867.435454545455,NA
"178","Ogden84th",-122.5875,45.64334,"outside","afternoon",5.9282,9.15178148148148,10.1049777777778,-65.8488888888889,NA,NA,9.11298148148148,0.01,NA,NA
"179","Ogden84th",-122.5875,45.64334,"outside","morning",5.59346296296296,9.09448888888889,10.3406888888889,-67.0755555555556,NA,NA,9.09438518518519,0.01,NA,NA
"180","Ogden84th",-122.5875,45.64334,"outside","night",8.34141111111111,13.0189333333333,14.5498222222222,-66.2644444444445,NA,NA,12.8932296296296,0.01,NA,NA
"181","pdx bird farm",-122.5922,45.53052,"outside","afternoon",94.0304854368932,142.973300970874,151.859223300971,-55.8076923076923,75.3269230769231,20.1153846153846,95.685145631068,0,866.97568627451,NA
"182","Pipe shop",-122.708,45.55902,"inside","afternoon",30.4527272727273,48.5595454545455,52.3736363636364,-59.7954545454545,83.0227272727273,17.0227272727273,32.7995454545455,0.02,865.598409090909,NA
